time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	Temperature(°C)	Version()	Battery level(%)
2024-9-12 11:44:31:752	HC-06(3AA59A817180)	6.939	-1.546	-0.109	123.779	-8.118	44.434	-82.61	-53.49	-149.62	33.7	18217	75
2024-9-12 11:44:31:788	HC-06(3AA59A817180)	2.201	-6.184	-0.437	123.779	-8.118	44.434	-81.57	-53.03	-149.62	33.7	18217	75
2024-9-12 11:44:31:788	HC-06(3AA59A817180)	2.201	-1.214	-0.604	146.973	85.449	-10.742	-79.80	-52.77	-150.44	33.7	18217	75
2024-9-12 11:44:31:788	HC-06(3AA59A817180)	1.396	-1.214	-0.604	146.973	85.449	-10.742	-77.29	-52.67	-152.08	33.7	18217	75
2024-9-12 11:44:31:789	HC-06(3AA59A817180)	1.396	-0.987	-0.200	86.182	94.055	-29.480	-75.03	-52.62	-153.82	33.7	18217	75
2024-9-12 11:44:31:789	HC-06(3AA59A817180)	0.101	-0.987	-0.200	86.182	94.055	-29.480	-73.00	-52.61	-155.66	33.7	18217	75
2024-9-12 11:44:31:810	HC-06(3AA59A817180)	0.101	-1.097	0.348	69.763	65.247	-52.917	-71.19	-52.73	-157.34	33.7	18217	75
2024-9-12 11:44:31:839	HC-06(3AA59A817180)	0.259	-1.097	0.348	69.763	65.247	-52.917	-69.58	-52.96	-158.86	33.7	18217	75
2024-9-12 11:44:31:840	HC-06(3AA59A817180)	3.741	-0.602	0.336	62.500	71.655	-152.100	-69.58	-52.96	-158.86	33.7	18217	75
2024-9-12 11:44:31:842	HC-06(3AA59A817180)	3.741	-2.549	-0.970	286.560	-48.218	-84.839	-51.36	-56.05	-173.91	33.7	18217	75
2024-9-12 11:44:31:843	HC-06(3AA59A817180)	3.144	-2.549	-0.970	286.560	-48.218	-84.839	-48.44	-56.90	-174.37	33.7	18217	75
2024-9-12 11:44:31:843	HC-06(3AA59A817180)	3.144	-2.567	-0.228	-160.156	-83.862	-180.847	-47.42	-58.23	-175.27	33.7	18217	75
2024-9-12 11:44:31:871	HC-06(3AA59A817180)	1.229	-2.567	-0.228	-160.156	-83.862	-180.847	-47.42	-58.23	-175.27	33.7	18217	75
2024-9-12 11:44:31:871	HC-06(3AA59A817180)	0.503	-1.119	0.372	-160.156	-83.862	-180.847	-47.42	-58.23	-175.27	33.7	18217	75
2024-9-12 11:44:31:900	HC-06(3AA59A817180)	0.357	-0.102	0.128	-88.989	-197.021	-51.025	-67.05	-67.01	-166.58	33.7	18217	75
2024-9-12 11:44:31:928	HC-06(3AA59A817180)	0.770	0.181	0.091	44.006	-23.254	10.010	-84.16	-69.57	-150.86	33.7	18217	75
2024-9-12 11:44:31:931	HC-06(3AA59A817180)	0.770	0.125	-0.100	50.049	32.410	-3.052	-83.49	-69.44	-151.20	33.7	18217	75
2024-9-12 11:44:31:931	HC-06(3AA59A817180)	0.868	0.125	-0.100	50.049	32.410	-3.052	-82.06	-69.37	-152.33	33.7	18217	75
2024-9-12 11:44:31:932	HC-06(3AA59A817180)	0.868	0.159	-0.161	25.085	38.147	-50.354	-80.62	-69.54	-153.62	33.7	18217	75
2024-9-12 11:44:31:932	HC-06(3AA59A817180)	0.381	0.159	-0.161	25.085	38.147	-50.354	-80.62	-69.54	-153.62	33.7	18217	75
2024-9-12 11:44:31:959	HC-06(3AA59A817180)	0.360	-1.003	-0.443	25.085	38.147	-50.354	-112.82	-22.62	175.97	33.7	18217	75
2024-9-12 11:44:31:988	HC-06(3AA59A817180)	0.360	-0.876	-0.342	44.312	-17.212	13.977	-112.51	-22.42	176.02	33.7	18217	75
2024-9-12 11:44:31:992	HC-06(3AA59A817180)	0.380	-0.876	-0.342	44.312	-17.212	13.977	-112.12	-22.24	176.07	33.7	18217	75
2024-9-12 11:44:31:993	HC-06(3AA59A817180)	0.380	-0.907	-0.351	61.829	-14.404	10.620	-111.64	-22.07	176.10	33.7	18217	75
2024-9-12 11:44:31:993	HC-06(3AA59A817180)	0.326	-0.907	-0.351	61.829	-14.404	10.620	-111.08	-21.92	176.13	33.7	18217	75
2024-9-12 11:44:31:993	HC-06(3AA59A817180)	0.326	-0.899	-0.404	59.814	-13.916	5.554	-110.53	-21.79	176.18	33.7	18217	75
2024-9-12 11:44:32:20	HC-06(3AA59A817180)	0.333	-0.899	-0.404	59.814	-13.916	5.554	-110.00	-21.69	176.23	33.7	18217	75
2024-9-12 11:44:32:21	HC-06(3AA59A817180)	0.333	-0.876	-0.402	58.411	-11.536	2.502	-109.48	-21.61	176.27	33.7	18217	75
2024-9-12 11:44:32:21	HC-06(3AA59A817180)	0.317	-0.876	-0.402	58.411	-11.536	2.502	-108.96	-21.55	176.31	33.7	18217	75
2024-9-12 11:44:32:22	HC-06(3AA59A817180)	0.317	-0.856	-0.393	57.800	-7.568	1.221	-108.45	-21.49	176.33	33.7	18217	75
2024-9-12 11:44:32:22	HC-06(3AA59A817180)	0.296	-0.856	-0.393	57.800	-7.568	1.221	-107.93	-21.46	176.34	33.7	18217	75
2024-9-12 11:44:32:51	HC-06(3AA59A817180)	0.296	-0.840	-0.372	59.631	-6.592	2.380	-107.40	-21.41	176.34	33.7	18217	75
2024-9-12 11:44:32:52	HC-06(3AA59A817180)	0.313	-0.840	-0.372	59.631	-6.592	2.380	-106.88	-21.36	176.33	33.7	18217	75
2024-9-12 11:44:32:52	HC-06(3AA59A817180)	0.313	-0.849	-0.376	57.434	-9.216	1.892	-106.36	-21.30	176.34	33.7	18217	75
2024-9-12 11:44:32:53	HC-06(3AA59A817180)	0.357	-0.849	-0.376	57.434	-9.216	1.892	-105.86	-21.25	176.36	33.7	18217	75
2024-9-12 11:44:32:84	HC-06(3AA59A817180)	0.357	-0.862	-0.391	54.077	-11.902	-0.916	-105.40	-21.20	176.40	33.7	18217	75
2024-9-12 11:44:32:84	HC-06(3AA59A817180)	0.358	-0.862	-0.391	54.077	-11.902	-0.916	-104.95	-21.17	176.46	33.7	18217	75
2024-9-12 11:44:32:84	HC-06(3AA59A817180)	0.358	-0.865	-0.357	48.340	-14.221	-5.615	-104.55	-21.16	176.54	33.7	18217	75
2024-9-12 11:44:32:110	HC-06(3AA59A817180)	0.361	-0.865	-0.357	48.340	-14.221	-5.615	-104.18	-21.17	176.64	33.7	18217	75
2024-9-12 11:44:32:110	HC-06(3AA59A817180)	0.361	-0.832	-0.300	46.204	-16.479	-9.644	-103.83	-21.19	176.75	33.7	18217	75
2024-9-12 11:44:32:111	HC-06(3AA59A817180)	0.360	-0.832	-0.300	46.204	-16.479	-9.644	-103.50	-21.24	176.89	33.7	18217	75
2024-9-12 11:44:32:112	HC-06(3AA59A817180)	0.360	-0.847	-0.301	39.612	-16.968	-14.404	-103.21	-21.31	177.02	33.7	18217	75
2024-9-12 11:44:32:139	HC-06(3AA59A817180)	0.309	-0.847	-0.301	39.612	-16.968	-14.404	-102.94	-21.40	177.17	33.7	18217	75
2024-9-12 11:44:32:140	HC-06(3AA59A817180)	0.309	-0.830	-0.296	33.447	-17.212	-17.151	-102.71	-21.51	177.32	33.7	18217	75
2024-9-12 11:44:32:141	HC-06(3AA59A817180)	0.294	-0.830	-0.296	33.447	-17.212	-17.151	-102.52	-21.63	177.48	33.7	18217	75
2024-9-12 11:44:32:142	HC-06(3AA59A817180)	0.294	-0.811	-0.271	35.706	-17.090	-17.151	-102.31	-21.75	177.64	33.7	18217	75
2024-9-12 11:44:32:200	HC-06(3AA59A817180)	0.305	-0.811	-0.271	35.706	-17.090	-17.151	-102.09	-21.87	177.80	33.7	18217	75
2024-9-12 11:44:32:201	HC-06(3AA59A817180)	0.305	-0.793	-0.266	34.302	-14.404	-13.672	-101.87	-21.97	177.94	33.6	18217	75
2024-9-12 11:44:32:201	HC-06(3AA59A817180)	0.310	-0.793	-0.266	34.302	-14.404	-13.672	-101.65	-22.06	178.06	33.6	18217	75
2024-9-12 11:44:32:203	HC-06(3AA59A817180)	0.310	-0.758	-0.270	26.733	-12.329	-12.207	-101.46	-22.14	178.17	33.7	18217	75
2024-9-12 11:44:32:203	HC-06(3AA59A817180)	0.265	-0.758	-0.270	26.733	-12.329	-12.207	-101.31	-22.23	178.27	33.7	18217	75
2024-9-12 11:44:32:229	HC-06(3AA59A817180)	0.265	-0.704	-0.256	21.545	-10.742	-5.737	-101.18	-22.27	178.35	33.7	18217	75
2024-9-12 11:44:32:230	HC-06(3AA59A817180)	0.224	-0.704	-0.256	21.545	-10.742	-5.737	-101.07	-22.29	178.42	33.7	18217	75
2024-9-12 11:44:32:231	HC-06(3AA59A817180)	0.224	-0.692	-0.227	19.043	-10.681	-0.305	-100.97	-22.29	178.48	33.7	18217	75
2024-9-12 11:44:32:232	HC-06(3AA59A817180)	0.252	-0.692	-0.227	19.043	-10.681	-0.305	-100.88	-22.25	178.54	33.7	18217	75
2024-9-12 11:44:32:260	HC-06(3AA59A817180)	0.252	-0.710	-0.239	22.888	-8.545	3.052	-100.76	-22.20	178.58	33.7	18217	75
2024-9-12 11:44:32:260	HC-06(3AA59A817180)	0.322	-0.710	-0.239	22.888	-8.545	3.052	-100.62	-22.13	178.60	33.7	18217	75
2024-9-12 11:44:32:262	HC-06(3AA59A817180)	0.322	-0.771	-0.219	24.658	-5.615	1.038	-100.46	-22.08	178.62	33.7	18217	75
2024-9-12 11:44:32:263	HC-06(3AA59A817180)	0.352	-0.771	-0.219	24.658	-5.615	1.038	-100.29	-22.04	178.62	33.7	18217	75
2024-9-12 11:44:32:264	HC-06(3AA59A817180)	0.352	-0.815	-0.199	33.081	-3.174	0.061	-100.07	-22.02	178.61	33.7	18217	75
2024-9-12 11:44:32:291	HC-06(3AA59A817180)	0.380	-0.815	-0.199	33.081	-3.174	0.061	-99.81	-21.99	178.59	33.7	18217	75
2024-9-12 11:44:32:291	HC-06(3AA59A817180)	0.380	-0.844	-0.203	36.438	-0.671	1.099	-99.51	-21.97	178.55	33.7	18217	75
2024-9-12 11:44:32:292	HC-06(3AA59A817180)	0.408	-0.844	-0.203	36.438	-0.671	1.099	-99.20	-21.95	178.50	33.7	18217	75
2024-9-12 11:44:32:292	HC-06(3AA59A817180)	0.408	-0.882	-0.154	38.940	0.000	0.671	-98.87	-21.93	178.45	33.7	18217	75
2024-9-12 11:44:32:320	HC-06(3AA59A817180)	0.399	-0.882	-0.154	38.940	0.000	0.671	-98.53	-21.92	178.39	33.7	18217	75
2024-9-12 11:44:32:320	HC-06(3AA59A817180)	0.399	-0.944	-0.125	41.321	0.244	0.916	-98.17	-21.91	178.34	33.7	18217	75
2024-9-12 11:44:32:321	HC-06(3AA59A817180)	0.377	-0.944	-0.125	41.321	0.244	0.916	-97.79	-21.90	178.28	33.7	18217	75
2024-9-12 11:44:32:322	HC-06(3AA59A817180)	0.377	-0.962	-0.113	36.255	0.000	2.075	-97.44	-21.88	178.21	33.7	18217	75
2024-9-12 11:44:32:349	HC-06(3AA59A817180)	0.371	-0.962	-0.113	36.255	0.000	2.075	-97.11	-21.86	178.16	33.7	18217	75
2024-9-12 11:44:32:350	HC-06(3AA59A817180)	0.371	-1.005	-0.100	36.072	1.099	5.188	-96.78	-21.82	178.09	33.7	18217	75
2024-9-12 11:44:32:350	HC-06(3AA59A817180)	0.355	-1.005	-0.100	36.072	1.099	5.188	-96.45	-21.77	178.02	33.7	18217	75
2024-9-12 11:44:32:352	HC-06(3AA59A817180)	0.355	-0.968	-0.139	30.090	0.732	10.925	-96.14	-21.69	177.95	33.7	18217	75
2024-9-12 11:44:32:384	HC-06(3AA59A817180)	0.355	-0.968	-0.139	30.090	0.732	10.925	-95.86	-21.58	177.88	33.7	18217	75
2024-9-12 11:44:32:384	HC-06(3AA59A817180)	0.355	-0.939	-0.097	15.686	-1.038	9.155	-95.65	-21.48	177.81	33.7	18217	75
2024-9-12 11:44:32:384	HC-06(3AA59A817180)	0.293	-0.939	-0.097	15.686	-1.038	9.155	-95.53	-21.38	177.76	33.7	18217	75
2024-9-12 11:44:32:385	HC-06(3AA59A817180)	0.293	-0.901	-0.015	14.648	4.333	15.564	-95.39	-21.26	177.68	33.7	18217	75
2024-9-12 11:44:32:385	HC-06(3AA59A817180)	0.284	-0.901	-0.015	14.648	4.333	15.564	-95.24	-21.10	177.57	33.7	18217	75
2024-9-12 11:44:32:410	HC-06(3AA59A817180)	0.284	-0.957	0.029	23.193	8.423	23.743	-95.03	-20.91	177.43	33.7	18217	75
2024-9-12 11:44:32:410	HC-06(3AA59A817180)	0.253	-0.957	0.029	23.193	8.423	23.743	-94.77	-20.68	177.26	33.7	18217	75
2024-9-12 11:44:32:411	HC-06(3AA59A817180)	0.253	-1.011	0.017	34.546	8.911	26.245	-94.45	-20.43	177.10	33.7	18217	75
2024-9-12 11:44:32:412	HC-06(3AA59A817180)	0.236	-1.011	0.017	34.546	8.911	26.245	-94.08	-20.17	176.93	33.7	18217	75
2024-9-12 11:44:32:440	HC-06(3AA59A817180)	0.236	-0.997	-0.019	35.095	9.216	28.809	-93.69	-19.89	176.76	33.7	18217	75
2024-9-12 11:44:32:441	HC-06(3AA59A817180)	0.215	-0.997	-0.019	35.095	9.216	28.809	-93.31	-19.60	176.60	33.7	18217	75
2024-9-12 11:44:32:442	HC-06(3AA59A817180)	0.215	-1.019	-0.032	35.278	11.108	30.396	-92.92	-19.30	176.42	33.7	18217	75
2024-9-12 11:44:32:443	HC-06(3AA59A817180)	0.236	-1.019	-0.032	35.278	11.108	30.396	-92.53	-18.98	176.24	33.7	18217	75
2024-9-12 11:44:32:470	HC-06(3AA59A817180)	0.236	-1.020	-0.025	36.072	13.977	34.851	-92.13	-18.65	176.04	33.7	18217	75
2024-9-12 11:44:32:471	HC-06(3AA59A817180)	0.248	-1.020	-0.025	36.072	13.977	34.851	-91.72	-18.29	175.84	33.7	18217	75
2024-9-12 11:44:32:500	HC-06(3AA59A817180)	0.248	-1.000	-0.005	39.856	15.015	44.495	-91.31	-17.89	175.62	33.7	18217	75
2024-9-12 11:44:32:500	HC-06(3AA59A817180)	0.263	-1.000	-0.005	39.856	15.015	44.495	-90.87	-17.44	175.41	33.7	18217	75
2024-9-12 11:44:32:502	HC-06(3AA59A817180)	0.263	-0.999	-0.015	40.649	15.564	45.166	-90.43	-16.97	175.19	33.7	18217	75
2024-9-12 11:44:32:502	HC-06(3AA59A817180)	0.267	-0.999	-0.015	40.649	15.564	45.166	-89.98	-16.52	174.98	33.7	18217	75
2024-9-12 11:44:32:529	HC-06(3AA59A817180)	0.267	-0.972	0.004	36.316	17.273	42.603	-89.57	-16.07	174.77	33.7	18217	75
2024-9-12 11:44:32:530	HC-06(3AA59A817180)	0.247	-0.972	0.004	36.316	17.273	42.603	-89.18	-15.64	174.54	33.7	18217	75
2024-9-12 11:44:32:531	HC-06(3AA59A817180)	0.247	-0.988	0.061	42.297	18.616	42.053	-88.75	-15.22	174.31	33.7	18217	75
2024-9-12 11:44:32:532	HC-06(3AA59A817180)	0.220	-0.988	0.061	42.297	18.616	42.053	-88.30	-14.79	174.09	33.7	18217	75
2024-9-12 11:44:32:560	HC-06(3AA59A817180)	0.220	-0.973	0.078	48.462	20.386	40.649	-87.81	-14.37	173.85	33.7	18217	75
2024-9-12 11:44:32:560	HC-06(3AA59A817180)	0.197	-0.973	0.078	48.462	20.386	40.649	-87.30	-13.96	173.61	33.7	18217	75
2024-9-12 11:44:32:562	HC-06(3AA59A817180)	0.197	-0.989	0.104	53.772	22.156	32.593	-86.76	-13.59	173.36	33.7	18217	75
2024-9-12 11:44:32:563	HC-06(3AA59A817180)	0.165	-0.989	0.104	53.772	22.156	32.593	-86.19	-13.26	173.11	33.7	18217	75
2024-9-12 11:44:32:563	HC-06(3AA59A817180)	0.165	-0.983	0.143	56.335	24.231	28.748	-85.61	-12.94	172.85	33.7	18217	75
2024-9-12 11:44:32:591	HC-06(3AA59A817180)	0.171	-0.983	0.143	56.335	24.231	28.748	-85.01	-12.63	172.58	33.7	18217	75
2024-9-12 11:44:32:592	HC-06(3AA59A817180)	0.171	-1.013	0.184	68.481	28.992	36.560	-84.35	-12.29	172.29	33.7	18217	75
2024-9-12 11:44:32:592	HC-06(3AA59A817180)	0.167	-1.013	0.184	68.481	28.992	36.560	-83.63	-11.90	171.99	33.7	18217	75
2024-9-12 11:44:32:592	HC-06(3AA59A817180)	0.167	-0.988	0.150	71.167	28.748	36.682	-82.90	-11.50	171.69	33.7	18217	75
2024-9-12 11:44:32:620	HC-06(3AA59A817180)	0.105	-0.988	0.150	71.167	28.748	36.682	-82.16	-11.11	171.41	33.7	18217	75
2024-9-12 11:44:32:620	HC-06(3AA59A817180)	0.105	-0.898	0.103	62.012	18.616	33.997	-81.47	-10.73	171.17	33.7	18217	75
2024-9-12 11:44:32:621	HC-06(3AA59A817180)	0.087	-0.898	0.103	62.012	18.616	33.997	-80.85	-10.37	171.00	33.7	18217	75
2024-9-12 11:44:32:650	HC-06(3AA59A817180)	0.087	-0.873	0.168	46.387	5.737	43.152	-80.33	-9.97	170.89	33.7	18217	75
2024-9-12 11:44:32:651	HC-06(3AA59A817180)	0.128	-0.873	0.168	46.387	5.737	43.152	-79.89	-9.54	170.86	33.7	18217	75
2024-9-12 11:44:32:652	HC-06(3AA59A817180)	0.128	-0.801	0.287	39.795	1.892	51.575	-79.49	-9.07	170.86	33.7	18217	75
2024-9-12 11:44:32:652	HC-06(3AA59A817180)	0.134	-0.801	0.287	39.795	1.892	51.575	-79.12	-8.57	170.90	33.7	18217	75
2024-9-12 11:44:32:653	HC-06(3AA59A817180)	0.134	-0.903	0.423	48.279	7.080	54.443	-78.71	-8.05	170.91	33.7	18217	75
2024-9-12 11:44:32:685	HC-06(3AA59A817180)	0.119	-0.903	0.423	48.279	7.080	54.443	-78.24	-7.51	170.90	33.7	18217	75
2024-9-12 11:44:32:685	HC-06(3AA59A817180)	0.119	-0.986	0.441	62.622	12.085	53.650	-77.69	-6.98	170.88	33.7	18217	75
2024-9-12 11:44:32:685	HC-06(3AA59A817180)	0.079	-0.986	0.441	62.622	12.085	53.650	-77.06	-6.44	170.84	33.7	18217	75
2024-9-12 11:44:32:686	HC-06(3AA59A817180)	0.079	-1.019	0.386	72.021	13.733	48.462	-76.38	-5.93	170.78	33.7	18217	75
2024-9-12 11:44:32:710	HC-06(3AA59A817180)	0.093	-1.019	0.386	72.021	13.733	48.462	-75.65	-5.45	170.72	33.7	18217	75
2024-9-12 11:44:32:710	HC-06(3AA59A817180)	0.093	-1.122	0.388	79.285	15.442	35.034	-74.89	-5.02	170.65	33.7	18217	75
2024-9-12 11:44:32:712	HC-06(3AA59A817180)	0.125	-1.122	0.388	79.285	15.442	35.034	-74.09	-4.66	170.55	33.7	18217	75
2024-9-12 11:44:32:712	HC-06(3AA59A817180)	0.125	-1.088	0.424	79.834	18.372	16.968	-73.29	-4.38	170.41	33.7	18217	75
2024-9-12 11:44:32:739	HC-06(3AA59A817180)	0.129	-1.088	0.424	79.834	18.372	16.968	-72.49	-4.18	170.24	33.7	18217	75
2024-9-12 11:44:32:740	HC-06(3AA59A817180)	0.129	-0.976	0.506	65.002	17.639	4.822	-71.76	-4.04	170.06	33.7	18217	75
2024-9-12 11:44:32:741	HC-06(3AA59A817180)	0.122	-0.976	0.506	65.002	17.639	4.822	-71.10	-3.96	169.87	33.7	18217	75
2024-9-12 11:44:32:742	HC-06(3AA59A817180)	0.122	-0.911	0.637	53.223	14.587	-2.258	-70.49	-3.91	169.68	33.7	18217	75
2024-9-12 11:44:32:774	HC-06(3AA59A817180)	0.128	-0.911	0.637	53.223	14.587	-2.258	-69.94	-3.90	169.49	33.7	18217	75
2024-9-12 11:44:32:775	HC-06(3AA59A817180)	0.128	-0.908	0.750	60.303	13.794	-7.690	-69.36	-3.91	169.30	33.7	18217	75
2024-9-12 11:44:32:775	HC-06(3AA59A817180)	0.110	-0.908	0.750	60.303	13.794	-7.690	-68.72	-3.96	169.10	33.7	18217	75
2024-9-12 11:44:32:775	HC-06(3AA59A817180)	0.110	-0.909	0.766	79.834	15.198	-10.742	-67.98	-4.00	168.89	33.7	18217	75
