time	DeviceName	AccX(g)	AccY(g)	AccZ(g)	AsX(°/s)	AsY(°/s)	AsZ(°/s)	AngleX(°)	AngleY(°)	AngleZ(°)	Temperature(°C)	Version()	Battery level(%)
2024-9-12 11:44:25:359	HC-06(3AA59A817180)	-0.071	-0.008	1.031	-0.671	-0.122	-0.854	-0.68	3.91	92.78	33.7	18217	75
2024-9-12 11:44:25:360	HC-06(3AA59A817180)	-0.071	-0.008	1.031	-0.671	-0.122	-0.854	-0.69	3.91	92.77	33.7	18217	75
2024-9-12 11:44:25:361	HC-06(3AA59A817180)	-0.069	-0.008	1.029	3.113	-0.183	-0.122	-0.64	3.89	92.75	33.7	18217	75
2024-9-12 11:44:25:539	HC-06(3AA59A817180)	-0.067	-0.009	1.018	3.113	-0.183	-0.122	-0.61	3.89	92.75	33.8	18217	75
2024-9-12 11:44:25:540	HC-06(3AA59A817180)	-0.067	-0.004	1.019	2.991	-0.244	0.488	-0.58	3.88	92.75	33.7	18217	75
2024-9-12 11:44:25:753	HC-06(3AA59A817180)	-0.069	-0.004	1.019	2.991	-0.244	0.488	-0.55	3.88	92.75	33.7	18217	75
2024-9-12 11:44:25:754	HC-06(3AA59A817180)	-0.072	-0.008	1.021	4.944	-0.549	1.038	-0.43	3.87	92.78	33.7	18217	75
2024-9-12 11:44:25:838	HC-06(3AA59A817180)	-0.073	-0.013	1.017	4.944	-0.549	1.038	-0.38	3.86	92.79	33.7	18217	75
2024-9-12 11:44:25:883	HC-06(3AA59A817180)	-0.070	-0.013	1.015	2.686	-0.366	0.549	-0.15	3.86	92.82	33.7	18217	75
2024-9-12 11:44:25:883	HC-06(3AA59A817180)	-0.069	-0.003	1.020	2.686	-0.366	0.549	-0.13	3.86	92.83	33.7	18217	75
2024-9-12 11:44:25:883	HC-06(3AA59A817180)	-0.069	0.005	1.031	-0.183	-0.427	0.061	-0.12	3.85	92.83	33.7	18217	75
2024-9-12 11:44:25:884	HC-06(3AA59A817180)	-0.068	0.005	1.031	-0.183	-0.427	0.061	-0.13	3.85	92.83	33.7	18217	75
2024-9-12 11:44:26:81	HC-06(3AA59A817180)	-0.070	0.005	1.041	-0.732	-0.854	0.610	-0.15	3.83	92.83	33.7	18217	75
2024-9-12 11:44:26:82	HC-06(3AA59A817180)	-0.068	0.000	1.038	-0.732	-0.854	0.610	-0.16	3.82	92.85	33.7	18217	75
2024-9-12 11:44:26:82	HC-06(3AA59A817180)	-0.068	-0.003	1.028	-0.488	-1.343	0.732	-0.17	3.81	92.85	33.7	18217	75
2024-9-12 11:44:26:83	HC-06(3AA59A817180)	-0.067	-0.003	1.028	-0.488	-1.343	0.732	-0.17	3.80	92.86	33.7	18217	75
2024-9-12 11:44:26:83	HC-06(3AA59A817180)	-0.067	-0.001	1.017	-2.502	-1.343	0.305	-0.19	3.79	92.86	33.7	18217	75
2024-9-12 11:44:26:139	HC-06(3AA59A817180)	-0.063	-0.001	1.017	-2.502	-1.343	0.305	-0.21	3.77	92.87	33.7	18217	75
2024-9-12 11:44:26:141	HC-06(3AA59A817180)	-0.063	-0.003	1.019	-6.226	-1.526	0.000	-0.25	3.76	92.87	33.7	18217	75
2024-9-12 11:44:26:171	HC-06(3AA59A817180)	-0.063	-0.003	1.019	-6.226	-1.526	0.000	-0.32	3.75	92.87	33.7	18217	75
2024-9-12 11:44:26:171	HC-06(3AA59A817180)	-0.063	-0.022	1.026	-4.211	-1.160	1.526	-0.37	3.74	92.87	33.7	18217	75
2024-9-12 11:44:26:187	HC-06(3AA59A817180)	-0.075	-0.022	1.026	-4.211	-1.160	1.526	-0.46	3.67	92.95	33.7	18217	75
2024-9-12 11:44:26:199	HC-06(3AA59A817180)	-0.061	-0.007	1.000	-3.784	-2.197	0.610	-0.49	3.66	92.96	33.7	18217	75
2024-9-12 11:44:26:200	HC-06(3AA59A817180)	-0.061	-0.033	1.021	-2.869	-1.831	0.183	-0.53	3.64	92.96	33.7	18217	75
2024-9-12 11:44:26:200	HC-06(3AA59A817180)	-0.060	-0.033	1.021	-2.869	-1.831	0.183	-0.55	3.62	92.97	33.7	18217	75
2024-9-12 11:44:26:202	HC-06(3AA59A817180)	-0.060	-0.022	1.017	-0.244	-0.549	2.869	-0.57	3.61	92.98	33.7	18217	75
2024-9-12 11:44:26:202	HC-06(3AA59A817180)	-0.069	-0.022	1.017	-0.244	-0.549	2.869	-0.57	3.60	93.01	33.7	18217	75
2024-9-12 11:44:26:260	HC-06(3AA59A817180)	-0.069	-0.005	1.020	0.305	-1.465	3.235	-0.57	3.60	93.04	33.7	18217	75
2024-9-12 11:44:26:261	HC-06(3AA59A817180)	-0.064	-0.005	1.020	0.305	-1.465	3.235	-0.46	3.41	93.33	33.7	18217	75
2024-9-12 11:44:26:262	HC-06(3AA59A817180)	-0.067	-0.013	1.026	2.625	-1.221	2.014	-0.43	3.39	93.35	33.7	18217	75
2024-9-12 11:44:26:265	HC-06(3AA59A817180)	-0.067	-0.012	1.015	4.150	-1.526	1.709	-0.40	3.38	93.37	33.7	18217	75
2024-9-12 11:44:26:266	HC-06(3AA59A817180)	-0.050	-0.012	1.015	4.150	-1.526	1.709	-0.40	3.38	93.37	33.7	18217	75
2024-9-12 11:44:26:291	HC-06(3AA59A817180)	-0.044	-0.013	0.999	10.437	0.427	0.427	0.65	3.25	93.71	33.7	18217	75
2024-9-12 11:44:26:291	HC-06(3AA59A817180)	-0.066	-0.014	0.999	8.362	0.854	-0.977	1.94	3.70	93.33	33.7	18217	75
2024-9-12 11:44:26:292	HC-06(3AA59A817180)	-0.066	0.044	1.016	6.165	3.052	-1.770	1.99	3.73	93.31	33.7	18217	75
2024-9-12 11:44:26:387	HC-06(3AA59A817180)	-0.065	0.044	1.016	6.165	3.052	-1.770	2.05	3.76	93.30	33.7	18217	75
2024-9-12 11:44:26:388	HC-06(3AA59A817180)	-0.075	0.043	1.013	6.165	3.052	-1.770	1.87	3.97	93.28	33.7	18217	75
2024-9-12 11:44:26:388	HC-06(3AA59A817180)	-0.075	0.045	1.055	-1.221	1.343	2.502	1.87	3.98	93.31	33.7	18217	75
2024-9-12 11:44:26:389	HC-06(3AA59A817180)	-0.084	0.045	1.055	-1.221	1.343	2.502	1.86	3.99	93.33	33.7	18217	75
2024-9-12 11:44:26:469	HC-06(3AA59A817180)	-0.084	0.081	1.028	-1.526	0.610	1.343	1.86	3.99	93.35	33.7	18217	75
2024-9-12 11:44:26:469	HC-06(3AA59A817180)	-0.082	0.081	1.028	-1.526	0.610	1.343	1.85	3.99	93.36	33.7	18217	75
2024-9-12 11:44:26:471	HC-06(3AA59A817180)	-0.079	0.043	1.048	-1.526	0.610	1.343	1.79	4.02	93.40	33.7	18217	75
2024-9-12 11:44:26:498	HC-06(3AA59A817180)	-0.082	0.029	1.019	-0.916	0.427	2.808	1.79	4.02	93.40	33.7	18217	75
2024-9-12 11:44:26:529	HC-06(3AA59A817180)	-0.082	0.017	0.979	10.254	-1.221	2.136	2.70	3.93	93.61	33.7	18217	75
2024-9-12 11:44:26:530	HC-06(3AA59A817180)	-0.082	0.017	0.987	10.864	-1.526	2.136	2.81	3.92	93.63	33.7	18217	75
2024-9-12 11:44:26:558	HC-06(3AA59A817180)	-0.081	0.017	0.987	10.864	-1.526	2.136	2.91	3.91	93.65	33.7	18217	75
2024-9-12 11:44:26:561	HC-06(3AA59A817180)	-0.081	0.026	0.996	10.254	-2.197	2.502	3.00	3.88	93.67	33.7	18217	75
2024-9-12 11:44:26:561	HC-06(3AA59A817180)	-0.088	0.026	0.996	10.254	-2.197	2.502	3.00	3.88	93.67	33.7	18217	75
2024-9-12 11:44:26:649	HC-06(3AA59A817180)	-0.081	0.051	1.006	8.423	-3.296	2.686	3.24	3.81	93.75	33.8	18217	75
2024-9-12 11:44:26:651	HC-06(3AA59A817180)	-0.081	0.049	1.037	9.521	-4.517	4.578	3.46	3.68	93.87	33.7	18217	75
2024-9-12 11:44:26:652	HC-06(3AA59A817180)	-0.080	0.049	1.037	9.521	-4.517	4.578	3.55	3.64	93.91	33.7	18217	75
2024-9-12 11:44:26:653	HC-06(3AA59A817180)	-0.080	0.071	1.030	8.972	-4.578	4.822	3.63	3.60	93.96	33.7	18217	75
2024-9-12 11:44:26:769	HC-06(3AA59A817180)	-0.079	0.071	1.030	8.972	-4.578	4.822	3.72	3.55	94.00	33.7	18217	75
2024-9-12 11:44:26:769	HC-06(3AA59A817180)	-0.079	0.076	1.032	6.653	-4.700	4.822	3.78	3.51	94.05	33.7	18217	75
2024-9-12 11:44:26:798	HC-06(3AA59A817180)	-0.077	0.076	1.032	6.653	-4.700	4.822	3.84	3.47	94.09	33.7	18217	75
2024-9-12 11:44:26:828	HC-06(3AA59A817180)	-0.077	0.074	1.024	7.507	-4.517	4.028	3.91	3.42	94.13	33.7	18217	75
